Periode;Riau
1;16190
2;16190
3;16190
4;16190
5;16300
6;16210
7;16140
8;16270
9;16330
10;15970
11;16210
12;16140
13;16250
14;16250
15;16250
16;16250
17;16250
18;16370
19;16500
20;16150
21;16500
22;16500
23;16450
24;16340
25;16340
26;16340
27;16340
28;16280
29;16340
30;16340
31;16100
32;16190
33;16300
34;16190
35;15960
36;16300
37;16240
38;16190
39;16340
40;16340
41;16470
42;16120
43;16470
44;16470
45;16280
46;16340
47;16340
48;16470
49;16280
50;16580
51;16470
52;16270
53;16270
54;16230
55;16280
56;16340
57;16280
58;16160
59;15990
60;16150
61;16260
62;16150
63;16150
64;16330
65;15990
66;16130
67;16040
68;16360
69;16240
70;16090
71;16250
72;16000
73;16090
74;16240
75;16360
76;16190
77;16400
78;16340
79;16450
80;16230
81;16150
82;15920
83;16230
84;16250
85;16300
86;16300
87;16180
88;16270
89;16250
90;16370
91;16110
92;16250
93;16180
94;16300
95;16180
96;16300
97;16270
98;16300
99;16250
100;16300
101;16370
102;16250
103;16180
104;16250
105;16210
106;16100
107;16300
108;16250
109;16250
110;16250
111;16400
112;16370
113;16250
114;16300
115;16000
116;15980
117;16370
118;16180
119;16370
120;16100
121;16450
122;16100
123;16060
124;16190
125;16210
126;15910
127;16190
128;15820
129;16090
130;15910
131;16000
132;16000
133;15820
134;16190
135;16090
136;16090
137;16000
138;16090
139;15970
140;16240
141;16090
142;16190
143;16110
144;15850
145;16310
146;16230
147;16230
148;16230
149;16280
150;16360
151;16260
152;16230
153;16280
154;16230
155;16320
156;16380
157;16350
158;16000
159;16417
160;16333
161;16260
162;16300
163;16170
164;16530
165;16080
166;16440
167;16290
168;16060
169;16160
170;16390
171;15950
172;16230
173;16350
174;16160
175;16230
176;16230
177;16390
178;16160
179;16160
180;16292
181;16292
182;16292
183;16292
184;16350
185;16090
186;16160
187;16160
188;16160
189;15958
190;16208
191;16000
192;16370
193;16090
194;16150
195;15910
196;16270
197;16160
198;16160
199;16160
200;16070
201;16000
202;16090
203;16090
204;16160
205;16160
206;16170
207;16010
208;16090
209;16170
210;15900
211;16260
212;15940
213;16230
214;16210
215;16450
216;16350
217;16040
218;16210
219;16030
220;15940
221;16210
222;16210
223;16160
224;16258
225;16258
226;16070
227;16020
228;16400
229;16111
230;15980
231;15840
232;15930
233;15890
234;16190
235;15990
236;16020
237;15940
238;15930
239;15890
240;16120
241;16230
242;16110
243;16300
244;16210
245;16100
246;16050
247;16140
248;16030
249;16050
250;16350
251;16030
252;16210
253;16220
254;16080
255;15930
256;15930
257;16110
258;16280
259;16150
260;16270
261;16040
262;16153
263;15903
264;16486
265;16340
266;15930
267;15810
268;16120
269;16030
270;16050
271;16030
272;16120
273;16040
274;16050
275;16000
276;16320
277;16030
278;15840
279;15970
280;16569
281;15898
282;15940
283;16190
284;16000
285;16110
286;16030
287;16150
288;16290
289;16130
290;16250
291;16380
292;16240
293;16200
294;16270
295;16360
296;16350
297;16220
298;16470
299;16340
300;16390
301;16423
302;16499
303;16590
304;16570
305;16570
306;16730
307;16510
308;16710
309;16610
310;16720
311;16780
312;16640
313;16860
314;16860
315;16840
316;16850
317;16570
318;16690
319;16710
320;16740
321;16780
322;16960
323;16940
324;16740
325;16810
326;16840
327;16790
328;16790
329;16790
330;16900
331;16970
332;16830
333;16900
334;16920
335;16820
336;16930
337;16860
338;16840
339;16740
340;16730
341;16820
342;16860
343;16590
344;16920
345;16940
346;16950
347;16990
348;17130
349;16950
350;16810
351;16960
352;16760
353;16880
354;16890
355;16950
356;16630
357;16730
358;16910
359;16820
360;16600
361;17020
362;16650
363;17000
364;16850
365;16750
366;16770
367;16840
